"","station","long","lat","ExCode","address","market store","adj_subway","school","cafe","academy","cultural facility","attraction","bank","hospital","bus_station"
"1","도봉산","127.046222","37.689313","113","서울특별시 도봉구 도봉로 964-33",0,2,2,11,5,0,1,1,3,10
"2","창동","127.047731","37.653166","116","서울특별시 도봉구 마들로11길 77",3,2,2,39,89,3,1,22,49,27
"3","석계","127.065851","37.614805","120","서울특별시 노원구 화랑로 341",1,2,0,27,42,2,0,11,38,30
"4","청량리","127.046835","37.580178","124","서울특별시 동대문구 왕산로 지하 205",1,4,2,52,16,3,1,31,85,25
"5","제기동","127.034893","37.578103","125","서울특별시 동대문구 왕산로 지하 93",0,1,1,41,25,3,1,17,32,16
"6","신설동","127.025087","37.575297","126","서울특별시 동대문구 왕산로 지하 1",1,3,4,79,48,2,0,31,23,21
"7","동묘앞","127.016429","37.572627","127","서울특별시 종로구 종로 359",2,2,1,59,37,1,5,45,59,21
"8","동대문","127.009745","37.57142","128","서울특별시 종로구 종로 지하 302",0,2,0,145,19,13,13,75,58,19
"9","종로5가","127.001849","37.570926","129","서울특별시 종로구 종로 지하 216",0,1,2,119,28,15,7,59,68,26
"10","종로3가","126.991806","37.571607","130","서울특별시 종로구 종로 지하 129",0,3,1,201,113,35,11,34,32,16
"11","종각","126.982923","37.570161","131","서울특별시 종로구 종로 지하 55",0,2,0,394,123,71,12,153,115,27
"12","시청","126.977108","37.564718","132","서울특별시 중구 세종대로 지하 101",0,3,2,222,20,28,11,129,84,36
"13","서울","126.972559","37.554648","133","서울특별시 중구 세종대로 지하 2",2,4,0,117,12,7,0,46,30,31
"14","신길","126.917169","37.517122","138","서울특별시 영등포구 영등포로 327",1,2,3,9,9,1,1,5,7,7
"15","신도림","126.891295","37.508725","140","서울특별시 구로구 새말로 117-21",2,2,1,76,53,8,1,25,46,23
"16","온수","126.823388","37.492258","145","서울특별시 구로구 부일로 872",1,2,3,11,13,0,0,7,7,17
"17","가산디지털단지","126.882343","37.481072","P142","서울특별시 금천구 벚꽃로 309",0,2,0,134,50,2,1,63,41,38
"18","을지로입구","126.982618","37.566014","202","서울특별시 중구 을지로 지하 42",0,3,0,333,67,22,6,164,102,24
"19","을지로3가","126.99191","37.566295","203","서울특별시 중구 을지로 지하 106",0,3,2,272,52,21,8,57,59,20
"20","을지로4가","126.998079","37.566941","204","서울특별시 중구 을지로 지하 178",0,3,1,111,8,13,3,48,33,24
